document_id,keyword
65,"computer vision"
65,descriptor
65,detector
65,feature
65,"human vision"
65,"object recognition"
66,"abstract intelligence"
66,"artificial intelligence"
66,"cognitive computers"
66,"cognitive computing"
66,"Cognitive informatics"
66,"computational intelligence"
66,"concept algebra"
66,"denotational mathematics"
66,eBrain
66,"engineering applications"
66,"granular algebra"
66,ICCI
66,"machinable intelligence"
66,"natural intelligence"
66,RTPA
66,"system algebra"
66,"visual semantic algebra"
67,"causal analysis"
67,"causation network"
67,"cognitive computing"
67,"cognitive informatics"
67,"computational intelligence"
67,"denotational mathematics"
67,"Formal inference"
67,reasoning
68,"Average Accelerator Information"
68,Integral-controller
68,"Particle swarm optimization"
69,Emotion
69,fuzzy
69,GCL
69,"humanoid robot"
70,SOAP
71,"genetic algorithm"
71,"incorporated intelligence algorithm"
71,"inverse problem"
71,"penalty factor"
71,"support vector machine"
72,"Agent organization"
72,commitment
72,obligation
72,utility
73,"Adaptive fuzzy"
73,"chaotic systems"
73,discrete-time
73,"interval type-2 FLC"
73,synchronization
74,"Artificial Intelligence"
74,"Cognitive Science"
74,"Computer Art"
74,Computers
74,Creativity
74,"Problem Solving"
74,"Societies of Agents"
75,"classifier systems"
75,"genetic algorithms"
75,"language and speech"
75,"machine learning"
76,"Automatic Target Recognition"
76,Reconnaissance
76,Strike
76,Surveillance
76,"Weapon Guidance"
77,"Cross time-frequency distribution"
77,"instantaneous phase"
77,PSK
78,"field programmable gate array"
78,"genetic algorithm"
78,"polarization control system"
78,wave-plate
79,"frequency diversity"
79,"Half-rate ATF"
79,MB-OFDM
79,"Pulsed MB-OFDM"
79,SAR
79,UWB
80,"QoS routing"
80,"routing metrics"
80,"security metrics"
81,FCM
81,"Knowledge based Image Processing"
81,"Morphological Operations"
81,MPFCM
81,Uterine
81,"Uterine Fibroid"
82,"Analytic Hierarchy Process"
82,"supplier selection"
82,"the ordered weighted aggregation operator"
83,comparison
83,"consumption characters"
83,"online shop"
83,"real outlet"
83,Zippo
84,algorithm
84,"down sampling"
84,"surface reconstruction"
84,"unorganized point"
85,"Gauss kernel"
85,"Mean-shift Procedure"
85,"Point-sampled model"
85,"quasi-Cauchy kernel"
86,"Ad hoc network"
86,"data replication"
86,hierarchical
87,ACE
87,filtering
87,text-message
88,"artificial visionary system"
88,"EEG based"
88,"noninvasive BCI"
88,"Visually Impaired People"
89,ambient
89,emitter
89,"Modulated IR Laser"
89,susceptible
89,Synchronize
90,"brand influencing factors"
90,"brand loyalty"
90,"brand name development"
90,Pakistan
90,"textiles and garment"
91,construction
91,contractors
91,"Project management"
91,"risk analysis"
91,"risk management"
92,"corporate sector"
92,"disaster management"
92,Pakistan
92,partnerships
93,Components
93,D<inf>2</inf>H<inf>2</inf>
93,e-Health
93,"Information Technology"
93,"Quality Healthcare"
94,Broadband
94,Indicators
94,Investment
94,Pakistan
