document_id,category,original_text,stemmed_text,word_count,keyword_percentage
65,Aerospace,"In object recognition (classification), it was known that the human brain processes visual information in semantic space mainly, that is, extracting the semantically meaningful features such as line-segments, boundaries, shape and so on. But by recent information processing techniques, these kinds of features cannot be detected by computers robustly so that in computer vision it's still difficult to process visual information as humans do. Computers have to process visual information in data space formed by the robustly detectable but less meaningful features such as colors, textures etc. Therefore, the processing methodology in computers is quite different from that in human beings. In the talk, we will address the main principle of the image recognition (classification) approach in computer vision, its seedtime, main results and the difficulty faced recently. From digital cameras, there is a huge amount of 2D-image data. In computer object recognition (or classification), the data should be transformed into an object-invariant inner representation. In order to solve the problem, we need two key techniques, i.e., a robust detector and an invariant descriptor. People have attempted to solve the two key techniques for a long time but so far they didn't find any efficient solution. Human visual performances are still superior to that of computer vision greatly in many aspects. So as a future direction, computer vision should learn some things from neuroscience and brain science. We will discuss what computer vision can learn from human vision and how it will be affected by the new interdisciplinary research. We may still face many difficulties in the future.","in object recognition -LRB- classification -RRB- , it be know that the human brain process visual information in semantic space mainly , that be , extract the semantically meaningful feature such as line-segment , boundary , shape and so on . but by recent information processing technique , these kind of feature can not be detect by computer robustly so that in computer vision it ' still difficult to process visual information as human do . computer have to process visual information in data space form by the robustly detectable but less meaningful feature such as color , textur etc. therefore , the processing methodology in computer be quite different from that in human being . in the talk , we will address the main principle of the image recognition -LRB- classification -RRB- approach in computer vision , its seedtime , main result and the difficulty face recently . from digital camera , there be a huge amount of 2d-image data . in computer object recognition -LRB- or classification -RRB- , the data should be transform into an object-invariant inner representation . in order to solve the problem , we need two key technique , i.e. , a robust detector and an invariant descriptor . people have attempt to solve the two key technique for a long time but so far they do n't find any efficient solution . human visual performance be still superior to that of computer vision greatly in many aspect . so as a future direction , computer vision should learn some thing from neuroscience and brain science . we will discuss what computer vision can learn from human vision and how it will be affect by the new interdisciplinary research . we may still face many difficulty in the future .",258,1
66,Aerospace,"The contemporary wonder of sciences and engineering has recently refocused on the beginning point of them: how the brain processes internal and external information autonomously and cognitively rather than imperatively as those of conventional computers. Cognitive Informatics (CI) is a transdisciplinary enquiry of computer science, information sciences, cognitive science, and intelligence science that investigates into the internal information processing mechanisms and processes of the brain and natural intelligence, as well as their engineering applications in cognitive computing. This paper reports a set of 9 position statements presented in the plenary panel of ICCI'10 on Cognitive Informatics and Its Future Development contributed from invited panelists who are part of the world's renowned researchers and scholars in the field of cognitive informatics and cognitive computing.","the contemporary wonder of science and engineering have recently refocus on the beginning point of them : how the brain process internal and external information autonomously and cognitively rather than imperatively as those of conventional computer . cognitive informatics -LRB- ci -RRB- be a transdisciplinary enquiry of computer science , information science , cognitive science , and intelligence science that investigate into the internal information processing mechanism and process of the brain and natural intelligence , as well as their engineering application in cognitive computing . this paper report a set of 9 position statement present in the plenary panel of icci '10 on cognitive informatics and its future development contribute from invite panelist who be part of the world 's renowned researcher and scholar in the field of cognitive informatics and cognitive computing .",123,0.29411764705882354
67,Aerospace,"Causal inference is one of the central capabilities of the natural intelligence that plays a crucial role in thought, perception, reasoning, and problem solving. This paper presents a set of cognitive models for causation analyses and causal inferences. The taxonomy and mathematical models of causations are created. The framework and properties of causal inferences are elaborated. Methodologies for uncertain causal inferences are discussed. The formalization of causal inference methodologies enables machines to mimic complex human reasoning mechanisms in cognitive informatics, cognitive computing, and computational intelligence.","causal inference be one of the central capability of the natural intelligence that play a crucial role in thought , perception , reasoning , and problem solve . this paper present a set of cognitive model for causation analysis and causal inference . the taxonomy and mathematical model of causation be create . the framework and property of causal inference be elaborate . methodology for uncertain causal inference be discuss . the formalization of causal inference methodology enable machine to mimic complex human reasoning mechanism in cognitive informatics , cognitive computing , and computational intelligence .",85,0.5
68,Aerospace,"Integral-controller particle swarm optimization (ICPSO), influenced by inertia weight w and coefficient phi is a new swarm technology by adding accelerator information. Based on stability analysis, the convergence conditions imply the negative selection principles of inertia weight w, and the relationship between w and phi. To improve the computational efficiency, an adaptive strategy for tuning the parameters of ICPSO is described using a new statistical variable reflecting computational efficiency index-average accelerator information. The optimization computing of some examples is made to show that the ICPSO has better global search capacity and rapid convergence speed","integral-controll particle swarm optimization -LRB- icpso -RRB- , influence by inertia weight w and coefficient phi be a new swarm technology by add accelerator information . base on stability analysis , the convergence condition imply the negative selection principle of inertia weight w , and the relationship between w and phi . to improve the computational efficiency , an adaptive strategy for tune the parameter of icpso be describe use a new statistical variable reflect computational efficiency index-average accelerator information . the optimization computing of some example be make to show that the icpso have better global search capacity and rapid convergence speed",94,0.6666666666666666
69,Aerospace,"Human has some perception based behavior seen in his body movements. Movements of hands, legs, head, etc. show the inner emotion of the person in specific situations subconsciously. This paper introduces a Generalized Constraint Language (GCL) for humanoid robots to categorize data needed for trajectory tracking for each joint of the robot which lead to emotion mimicry. An artificial neural network generates velocity and acceleration for each joint of humanoid using GCL values. A concept that plays a key role in emotion mimicry with CTP is GCL","human have some perception base behavior see in his body movement . movement of hand , leg , head , etc. show the inner emotion of the person in specific situation subconsciously . this paper introduce a generalized constraint language -LRB- gcl -RRB- for humanoid robot to categorize data need for trajectory tracking for each joint of the robot which lead to emotion mimicry . an artificial neural network generate velocity and acceleration for each joint of humanoid use gcl value . a concept that play a key role in emotion mimicry with ctp be gcl",87,0.75
70,Aerospace,"On the characteristics of multi-source, heterogenous structure, mass data of WebGIS as well as the complexity of the system, the paper proposes the design model based on Web and multi-agent. Moreover, through analyzing the characteristics of each agent of the design model, the paper makes a further research on the communication problem of the agents. It also proposes the communication model and gives analysis and design to communication adapter","on the characteristic of multi-source , heterogenous structure , mass data of webgi as well as the complexity of the system , the paper propose the design model base on web and multi-agent . moreover , through analyze the characteristic of each agent of the design model , the paper make a further research on the communication problem of the agent . it also propose the communication model and give analysis and design to communication adapter",69,0
71,Aerospace,"An inverse problem of support vector machines (SVMs) was investigated. The inverse problem is how to split a given dataset into two clusters such that the margin between the two clusters attains the maximum. Here the margin is defined according to the separating hyper plane generated by support vectors. It is difficult to give an exact solution to this problem. An immunogenetic particle swarm incorporated intelligence algorithm was proposed to solve this problem. This study on the inverse problem of SVMs is motivated by designing a heuristic algorithm for generating decision trees with high generalization capability. The application in the recognition of the bank risk shows it is effective","an inverse problem of support vector machine -LRB- svm -RRB- be investigate . the inverse problem be how to split a give dataset into two cluster such that the margin between the two cluster attain the maximum . here the margin be define accord to the separate hyp plane generate by support vector . it be difficult to give an exact solution to this problem . an immunogenetic particle swarm incorporate intelligence algorithm be propose to solve this problem . this study on the inverse problem of svm be motivate by design a heuristic algorithm for generate decision tree with high generalization capability . the application in the recognition of the bank risk show it be effective",109,0.4
72,Aerospace,"It is important to design an agent with logical and decisive rationality in agent organization. Study about organization focuses on the definition of agent organization model and the analysis of organization formation and evolution, an attractive and challenging issue is how to combine logical and decisive rationality into a uniform framework. This paper aims at arguing the combination with logic and decision in agent organization. To pursue this aim, we extend the notions of commitment and obligation with utility in agent organization and utility reflects agent decision. In order to systematize the notions, formal tools are introduced to describe them as well as the semantics of utility for commitment and obligation are defined. We specify the properties and consequences of the extension for agent organization","it be important to design an agent with logical and decisive rationality in agent organization . study about organization focus on the definition of agent organization model and the analysis of organization formation and evolution , an attractive and challenging issue be how to combine logical and decisive rationality into a uniform framework . this paper aim at argue the combination with logic and decision in agent organization . to pursue this aim , we extend the notion of commitment and obligation with utility in agent organization and utility reflect agent decision . in order to systematize the notion , formal tool be introduce to describe them as well as the semantics of utility for commitment and obligation be define . we specify the property and consequence of the extension for agent organization",125,1
73,Aerospace,"This paper proposes a novel fuzzy mode-based adaptive approach to synchronize two different discrete-time chaotic systems. In order to handle the linguistic and numerical uncertainties associated with the inputs and outputs of the fuzzy logic system (FLS), the chaotic drive and response systems are represented by interval type-2 Takagi-Segeno (T-S) fuzzy model. Based on the recursive weighted least squares algorithm, the adaptive laws can be derived to estimate the unknown system parameters. The output of master system is chosen as the reference trajectory and the control input of salve system is designed to achieve asymptotic synchronization with different initial conditions, different parameters and/or different type of model. The simulation example is included to confirm validity and performance of the advocated design methodology.","this paper propose a novel fuzzy mode-based adaptive approach to synchronize two different discrete-time chaotic system . in order to handle the linguistic and numerical uncertainty associate with the input and output of the fuzzy logic system -LRB- fl -RRB- , the chaotic drive and response system be represent by interval type-2 takagi-segeno -LRB- t- -RRB- fuzzy model . base on the recursive weighted least square algorithm , the adaptive law can be derive to estimate the unknown system parameter . the output of master system be choose as the reference trajectory and the control input of salve system be design to achieve asymptotic synchronization with different initial condition , different parameter and/or different type of model . the simulation example be include to confirm validity and performance of the advocate design methodology .",122,0.6
74,Aerospace,"The contribution provides a short overview of levels of creativity achieved in different computational systems, and sketches a proposal of two different possibilities how to cope with the problem of creativity of artificial systems.","the contribution provide a short overview of level of creativity achieve in different computational system , and sketch a proposal of two different possibility how to cope with the problem of creativity of artificial system .",34,0.14285714285714285
